state,city
AL,Birmingham
AK,Anchorage
AZ,Phoenix
AR,Little Rock
CA,Los Angeles
CA,San Diego
CA,San Jose
CO,Denver
CT,Hartford
DE,Wilmington
FL,Jacksonville
FL,Miami
FL,Tampa
GA,Atlanta
HI,Honolulu
ID,Boise
IL,Chicago
IN,Indianapolis
IA,Des Moines
KS,Wichita
KY,Louisville
LA,New Orleans
ME,Portland
MD,Baltimore
MA,Boston
MI,Detroit
MN,Minneapolis
MS,Jackson
MO,Kansas City
MT,Billings
NE,Omaha
NV,Las Vegas
NH,Manchester
NJ,Newark
NM,Albuquerque
NY,New York
NY,Buffalo
NC,Charlotte
ND,Fargo
OH,Columbus
OK,Oklahoma City
OR,Portland
PA,Philadelphia
RI,Providence
SC,Charleston
SD,Sioux Falls
TN,Nashville
TX,Houston
TX,Dallas
TX,Austin
UT,Salt Lake City
VT,Burlington
VA,Virginia Beach
WA,Seattle
WV,Charleston
WI,Milwaukee
WY,Cheyenne
